State,Binge drinking* prevalenceâ€ 
Alabama,13.7
Alaska,18
Arizona,18.7
Arkansas,17.5
California,18.2
Colorado,19.9
Connecticut,17.2
Delaware,15.6
District of Columbia,24.2
Florida,16.3
Georgia,15.2
Hawaii,19.9
Idaho,16.4
Illinois,18.3
Indiana,15.7
Iowa,23.2
Kansas,18.2
Kentucky,14
Louisiana,17.7
Maine,17.7
Maryland,14.4
Massachusetts,18.6
Michigan,18.7
Minnesota,21
Mississippi,14.4
Missouri,20.6
Montana,24
Nebraska,20.5
Nevada,18.7
New Hampshire,18.8
New Jersey,16.7
New Mexico,16.8
New York,17.8
North Carolina,18.1
North Dakota,23.9
Ohio,19.9
Oklahoma,14.4
Oregon,19.4
Pennsylvania,18.4
Rhode Island,18.4
South Carolina,18.2
South Dakota,21
Tennessee,16.4
Texas,16.9
Utah,12.7
Vermont,20.3
Virginia,17.8
Washington,16.5
West Virginia,15.5
Wisconsin,21.8
Wyoming,19.8